entity:TextureCache, class id:0, id:2-2
entity:DeviceCaps, class id:0, id:3-3
entity:CResManagerUpdate, class id:0, id:4-4
entity:Game, class id:0, id:5-5
entity:GameObjMotion, class id:0, id:7-7
entity:GameNet, class id:0, id:8-8
entity:GameClient, class id:0, id:9-9
entity:GameSock, class id:0, id:10-10
entity:GameSender, class id:0, id:11-11
entity:GameReceiver, class id:0, id:12-12
entity:StageLogin, class id:0, id:13-13
entity:StageMain, class id:0, id:14-14
entity:StageSwitchScene, class id:0, id:15-15
entity:StageClient, class id:0, id:16-16
entity:StageTestModel, class id:0, id:17-17
entity:CameraControl, class id:0, id:19-19
entity:Camera3rd, class id:0, id:20-20
entity:WinFreeCamera, class id:0, id:21-21
entity:RoleComposite, class id:0, id:22-22
entity:FightNet, class id:0, id:23-23
entity:ImageAnimationManager, class id:0, id:39-39
entity:HyperLinkStyleManager, class id:0, id:40-40
entity:CoolManager, class id:0, id:41-41
entity:GameControl, class id:0, id:45-45
entity:SceneObjManager, class id:0, id:46-46
entity:StateMachine, class id:0, id:47-47

total 26 entities
