Ai,艾
Ann,安
Ao,敖
Pa,巴
Pai,白
Paul,包
Pao,鲍
Pan,班
Pei,贝
Pih,毕
Bein,卞
Po,卜
Pu,薄
Poo,步
Pai-li,百里
Tsia,蔡
Choi,柴
Chao,曹
Chiao,晁
Tsao,巢
Cheng,岑
Tsui,崔
Cha,查
Chiong,常
Che,车
Chen,陈
Cheng,成
Cheng,程
Chi,池
Chu,褚
Chu,楚
Chwen-yu,淳于
Day,戴
Tai,代
Teng,邓
Ti,狄
Tiao,刁
Ting,丁
T,丁
Tung,董
Tong,东
Tou,窦
To,杜
Tuan,段
Duan-mu,端木
Tung-kuo,东郭
Tung-fang,东方
Fan,范
Van,樊
Fang,房
Fang,方
Fei,费
Fung,冯
Fong,凤
Fong,封
Fu,符
Foo,傅
Kai,盖
Kan,甘
Gao,高
Kao,郜
Keh,葛
Keng,耿
Kung,弓
Kung,宫
Kung,龚
Kung,恭
Kou,勾
Ku,古
Kwei,桂
Kuan,管
Kwan,关
Kwok,郭
Kuo,国
Kung-sun,公孙
Kung-yang,公羊
Kung-yeh,公冶
Ku-liang,谷梁
Hay,海
Hon,韩
Hang,杭
Hoa,郝
Ho,何
Ho,贺
Won,桓
Hou,侯
Hung,洪
Hu,胡
Hoo,扈
Hua,花
Hua,华
Huan,宦
Wong,黄
Huo,霍
Hwang-fu,皇甫
Hu-yen,呼延
Chi,纪
Chi,翼
Chi,季
Chi,吉
Chi,嵇
Chi,汲
Chi,籍
Chi,姬
Chu,居
Chia,贾
Jen,翦
Jane,简
Chiang,蒋
Kwong,姜
Kwong,江
Chiao,焦
Jin,金
King,靳
King,景
Ching,荆
Gan,讦
Kan,阚
Kang,康
Kor,柯
Kong,孔
Ker,寇
Kuai,蒯
Kuang,匡
Lai,赖
Lan,蓝
Long,郎
Lao,劳
Loh,乐
Rae,雷
Leng,冷
Lee,黎
Li,郦
Lai,利
Li,李
Lien,连
Liu,廖
Leung,梁
Lim,林
Lin,蔺
Lin,凌
Liu,柳
Lau,刘
Long,龙
Lou,楼
Lou,娄
Lu,卢
Loo,路
Lu,陆
Loo,鲁
Lun,伦
Loh,罗
Lo,骆
Lui,吕
Lin-hoo,令狐
Ma,马
Ma,麻
Mai,麦
Man,满
Mao,毛
Mei,梅
Mong,孟
Meng,蒙
Mi,米
Mi,宓
Miau,苗
Miao,缪
Min,闵
Moo,穆
Mok,莫
Moh-chi,万俟
Mo-yung,慕容
Nee,倪
Ning,甯
Nieh,聂
New,牛
Long,农
Nan-kung,南宫
Au,欧
Ou,区
Ou-yang,欧阳
Pang,潘
Pang,庞
Pei,裴
Phang,彭
Pee,皮
Ping,平
Poo,浦
Pu,蒲
Pu,卜
Poo-yang,濮阳
Chi,祁
Chyi,戚
Chi,齐
Chien,钱
Chiao,乔
Ching,秦
Chiu,裘
Chiu,仇
Chiu,邱
Chiu,屈
Chu,曲
Chu,瞿
Yien,冉
Yau,饶
Jen,任
Yung,荣
Yung,容
Yuen,阮
Nei,芮
Sze,司
Sang,桑
Sa,沙
Shao,邵
San,单
San,山
Sang,尚
Sang,商
Shang,商
Shen,沈
Shen,申
Shen,盛
Shih,史
Shi,施
Shi,师
Shi,石
Sue,苏
Soo,宿
Se,舒
Sun,孙
Song,宋
Sze-kung,司空
Sze-ma,司马
Sze-to,司徒
San-yu,单于
Sang-kuan,上官
Shen-tu,申屠
Tan,谈
Town,汤
Towne,唐
Tai,邰
Tan/Tam,谭
Tao,陶
Teng,藤
Tien,田
Tung,童
Tu,屠
Tan-tai,澹台
Toh-bah,拓拔
Wan,万
Wong,王
Wong,汪
Wei,魏
Wei,卫
Wei,韦
Wen,温
Chin,文
Vane,闻
Ong,翁
Wu,吴
NG,伍
Woo,巫
Wu,武
NG,邬
Woo,乌
His,奚
Chi,席
Har,夏
Shaw,肖
Siu,萧
Hsiang,项
Hsiang,向
Tse,解
Shieh,谢
Hsing,辛
Hsing,刑
Hsiung,熊
Shun,许
Hui,徐
Hsu,荀
Hsuan,宣
Hsueh,薛
See-men,西门
Hsia-hou,夏侯
Hsuan-yuen,轩辕
Yim,燕
Yen,晏
Yen,阎
Yen,严
Yen,颜
Young,杨
Yang,羊
Yang,养
Yao,姚
Yip,叶
Yih,伊
E,易
Yih,羿
Yi,殷
Yin,阴
Ying,尹
Ying,应
Yu,尤
You,游
Yue,俞
Yu,庾
Yu,于
Yu,余
Yu,虞
Yu,郁
Yu,余
Yu,禹
Yuan,袁
Yuen,元
Yue,岳
Wing,云
Yu-chi,尉迟
Yu-wen,宇文
Chang,藏
Tsang,曾
Cheng,郑
Chung,宗
Cho,左
Tso,卓
Chia,翟
Chan,詹
Chen,甄
Tsan,湛
Cheung,张
Chang,章
Chao,赵
Chiu,肇
Chiao,招
Chau,周
Chou,邹
Chung,钟
Chu,祖
Chuh,竺
Chuh,朱
Chuh,诸
Chuh,祝
